TIME 1,TIME 2,FASE,PLACAR,RODADA,,AMARELOS,VERMELHOS,DATA,HORÁRIO,ESTÁDIO,ESTÁDIO
BRUSQUE,CRICIÚMA,GRUPOS,1 x 1,Oitava Rodada,,1,1,08/02/2025,19:00,Estádio Augusto Bauer,
CHAPECOENSE,SANTA CATARINA,GRUPOS,1 x 1,Oitava Rodada,,7,0,09/02/2025,17:00,Estádio Municipal Josué Annoni,
CONCÓRDIA,HERCÍLIO LUZ,GRUPOS,1 x 0,Oitava Rodada,,2,0,09/02/2025,17:00,Estádio Domingos Machado De Lima,
AVAÍ,MARCÍLIO DIAS,GRUPOS,3 x 0,Oitava Rodada,,3,0,09/02/2025,18:00,Estádio da Ressacada,
CARAVAGGIO,JOINVILLE,GRUPOS,0 x 1,Oitava Rodada,,6,0,09/02/2025,19:00,Estádio da Montanha,
SANTA CATARINA,BRUSQUE,GRUPOS,1 x 0,Nona Rodada,,8,0,12/02/2025,20:00,Estádio Municipal Alfredo João Krieck,
CRICIÚMA,CARAVAGGIO,GRUPOS,1 x 2,Nona Rodada,,7,2,12/02/2025,20:30,Estádio Heriberto Hulse,
MARCÍLIO DIAS,BARRA,GRUPOS,2 x 0,Nona Rodada,,2,0,12/02/2025,20:30,Estádio Dr. Hercílio Luz,
AVAÍ,CONCÓRDIA,GRUPOS,3 x 1,Nona Rodada,,2,0,12/02/2025,21:00,Estádio da Ressacada,
HERCÍLIO LUZ,JOINVILLE,GRUPOS,2 x 1,Nona Rodada,,9,0,13/02/2025,20:00,Estádio Anibal Torres Costa,
FIGUEIRENSE,CHAPECOENSE,GRUPOS,2 x 4,Nona Rodada,,7,0,13/02/2025,20:30,Estádio Orlando Scarpelli,
CRICIÚMA,MARCÍLIO DIAS,GRUPOS,0 x 0,Décima Rodada,,6,0,15/02/2025,16:30,Estádio Heriberto Hulse,
BARRA,AVAÍ,GRUPOS,1 x 0,Décima Rodada,,2,0,15/02/2025,18:00,Arena Barra Futebol Clube,
HERCÍLIO LUZ,CHAPECOENSE,GRUPOS,2 x 2,Décima Rodada,,6,0,16/02/2025,17:00,Estádio Anibal Torres Costa,
JOINVILLE,SANTA CATARINA,GRUPOS,4 x 3,Décima Rodada,,5,0,16/02/2025,18:00,Arena Joinville,
CONCÓRDIA,BRUSQUE,GRUPOS,1 x 4,Décima Rodada,,6,0,16/02/2025,18:00,Estádio Domingos Machado De Lima,
FIGUEIRENSE,CARAVAGGIO,GRUPOS,5 x 1,Décima Rodada,,4,0,16/02/2025,18:30,Estádio Orlando Scarpelli,
MARCÍLIO DIAS,FIGUEIRENSE,GRUPOS,2 x 1,Décima Primeira Rodada,,3,0,22/02/2025,16:30,Estádio Dr. Hercílio Luz,
CARAVAGGIO,BARRA,GRUPOS,0 x 0,Décima Primeira Rodada,,6,0,22/02/2025,16:30,Estádio da Montanha,
SANTA CATARINA,CONCÓRDIA,GRUPOS,3 x 0,Décima Primeira Rodada,,5,0,22/02/2025,16:30,Estádio Municipal Alfredo João Krieck,
AVAÍ,CRICIÚMA,GRUPOS,0 x 3,Décima Primeira Rodada,,2,0,22/02/2025,16:30,Estádio da Ressacada,
CHAPECOENSE,JOINVILLE,GRUPOS,1 x 1,Décima Primeira Rodada,,1,0,22/02/2025,16:30,Estádio Municipal Josué Annoni,
BRUSQUE,HERCÍLIO LUZ,GRUPOS,3 x 1,Décima Primeira Rodada,,2,0,22/02/2025,16:30,Estádio Augusto Bauer,
BRUSQUE,CHAPECOENSE,MATA-MATA,0 (4) x 0 (5),Quartas de final,,8,0,01/03/2025,18:30,Estádio Augusto Bauer,
CRICIÚMA,JOINVILLE,MATA-MATA,0 (7) x 0 (8),Quartas de final,,6,0,02/03/2025,19:00,Estádio Heriberto Hülse,
SANTA CATARINA,MARCÍLIO DIAS,MATA-MATA,2 x 0,Quartas de final,,9,1,04/03/2025,20:30,Estádio Municipal Alfredo João Krieck,
AVAÍ,FIGUEIRENSE,MATA-MATA,1 (4) x 1 (2),Quartas de final,,2,0,05/03/2025,21:30,Estádio da Ressacada,
SANTA CATARINA,AVAÍ,MATA-MATA,1 (7) x 1 (8),Semifinal,,2,0,08/03/2025,17:45,Estádio Municipal Alfredo João Krieck,
CHAPECOENSE,JOINVILLE,MATA-MATA,2 x 1,Semifinal,,12,0,09/03/2025,17:00,Estádio Municipal Josué Annoni,
CHAPECOENSE,AVAÍ,MATA-MATA,2 x 2,"Final, Jogo 1",,0,0,15/03/2025,16:30,Estádio Municipal Josué Annoni,
AVAÍ,CHAPECOENSE,MATA-MATA,1 x 1 (AVAI CAMPEAO),"Final, Jogo 2",,12,4,22/03/2025,16:30,Estádio da Ressacada,
